GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2,lab.demand,ManageDemand,0,45,0,2,0,11,0,4,0,3
lab2,lab.demand,Tax,0,24,0,0,0,5,0,3,0,3
lab2,lab.demand,Order,8,15,0,0,4,6,2,3,2,3
lab2,lab,Main,125,0,0,0,23,0,4,0,4,0
